0.996396 0.067542 0.000000
1.069077 0.090205 0.000000
1.143942 0.104282 0.000000
1.219608 0.113189 0.000000
1.295642 0.118041 0.000000
1.371831 0.118354 0.000000
1.447929 0.114565 0.000000
1.523741 0.106933 -0.000000
1.599151 0.096013 -0.000000
1.674125 0.082410 0.000000
1.748756 0.067025 0.000000
1.823120 0.050392 0.000000
1.897186 0.032482 0.000000
1.970913 0.013227 -0.000000
2.043913 -0.008595 -0.000000
2.115513 -0.034610 -0.000000
2.113365 -0.046428 0.000000
2.040013 -0.034477 0.000000
1.965964 -0.028014 -0.000000
1.891663 -0.025647 -0.000000
1.817325 -0.026193 0.000000
1.743044 -0.029231 0.000000
1.668851 -0.033976 0.000000
1.594759 -0.040123 -0.000000
1.520720 -0.046872 -0.000000
1.446612 -0.052783 0.000000
1.372337 -0.055749 0.000000
1.298030 -0.053838 0.000000
1.224019 -0.046968 0.000000
1.150483 -0.036107 0.000000
1.077350 -0.022736 -0.000000
1.004431 -0.008292 0.000000
0.940781 0.025474 0.075068
0.943247 0.029216 0.150135
0.945714 0.032958 0.225203
0.948181 0.036700 0.300270
0.950648 0.040442 0.375338
0.953114 0.044179 0.450406
0.955497 0.047288 0.525505
0.957880 0.050397 0.600604
0.960263 0.053506 0.675703
0.962647 0.056615 0.750802
0.965030 0.059724 0.825902
0.967412 0.062826 0.901001
0.969708 0.065506 0.976120
0.972004 0.068185 1.051238
0.974300 0.070865 1.126356
0.976597 0.073544 1.201475
0.978893 0.076224 1.276593
0.981187 0.078898 1.351712
0.983393 0.081352 1.426841
0.985599 0.083805 1.501970
0.987805 0.086258 1.577098
0.990011 0.088711 1.652227
0.992217 0.091164 1.727356
0.994420 0.093617 1.802485
0.996517 0.096070 1.877617
0.998613 0.098522 1.952749
1.000709 0.100974 2.027881
1.002806 0.103427 2.103013
1.004902 0.105879 2.178145
1.006998 0.108331 2.253277
1.009095 0.110784 2.328409
1.011187 0.113246 2.403541
1.013153 0.116028 2.478665
1.015118 0.118810 2.553789
1.017084 0.121592 2.628913
1.019049 0.124375 2.704037
1.021015 0.127157 2.779161
1.022981 0.129939 2.854285
